direction,train_cycle,chronological_age_years,term_score_log_odds,training_bin_unweighted_n,display_eligible
train_2015_2016_test_2017_2018,2015_2016,73.0,1.39402984335088,76,True
train_2015_2016_test_2017_2018,2015_2016,73.5,1.39402984335088,76,True
train_2015_2016_test_2017_2018,2015_2016,74.0,1.39402984335088,76,True
train_2015_2016_test_2017_2018,2015_2016,74.5,1.39402984335088,76,True
train_2015_2016_test_2017_2018,2015_2016,75.0,1.39402984335088,76,True
train_2015_2016_test_2017_2018,2015_2016,75.5,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,76.0,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,76.5,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,77.0,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,77.5,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,78.0,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,78.5,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,79.0,1.4535919138971756,70,True
train_2015_2016_test_2017_2018,2015_2016,79.5,1.5862941467440705,121,True
train_2015_2016_test_2017_2018,2015_2016,80.0,1.5862941467440705,121,True
train_2017_2018_test_2015_2016,2017_2018,20.0,-2.0318670878647134,97,True
train_2017_2018_test_2015_2016,2017_2018,20.5,-2.0318670878647134,97,True
train_2017_2018_test_2015_2016,2017_2018,21.0,-2.0318670878647134,97,True
train_2017_2018_test_2015_2016,2017_2018,21.5,-2.0318670878647134,97,True
train_2017_2018_test_2015_2016,2017_2018,22.0,-2.0318670878647134,97,True
train_2017_2018_test_2015_2016,2017_2018,22.5,-1.7253412775290402,71,True
train_2017_2018_test_2015_2016,2017_2018,23.0,-1.7253412775290402,71,True
train_2017_2018_test_2015_2016,2017_2018,23.5,-1.7253412775290402,71,True
train_2017_2018_test_2015_2016,2017_2018,24.0,-1.7253412775290402,71,True
train_2017_2018_test_2015_2016,2017_2018,24.5,-1.3657456300841286,67,True
train_2017_2018_test_2015_2016,2017_2018,25.0,-1.3657456300841286,67,True
train_2017_2018_test_2015_2016,2017_2018,25.5,-1.3657456300841286,67,True
train_2017_2018_test_2015_2016,2017_2018,26.0,-1.3657456300841286,67,True
train_2017_2018_test_2015_2016,2017_2018,26.5,-1.3907077645263297,62,True
train_2017_2018_test_2015_2016,2017_2018,27.0,-1.3907077645263297,62,True
train_2017_2018_test_2015_2016,2017_2018,27.5,-1.3907077645263297,62,True
train_2017_2018_test_2015_2016,2017_2018,28.0,-1.3907077645263297,62,True
train_2017_2018_test_2015_2016,2017_2018,28.5,-0.9296758032976052,61,True
train_2017_2018_test_2015_2016,2017_2018,29.0,-0.9296758032976052,61,True
train_2017_2018_test_2015_2016,2017_2018,29.5,-0.9296758032976052,61,True
train_2017_2018_test_2015_2016,2017_2018,30.0,-0.9296758032976052,61,True
train_2017_2018_test_2015_2016,2017_2018,30.5,-0.8960638373742754,67,True
train_2017_2018_test_2015_2016,2017_2018,31.0,-0.8960638373742754,67,True
train_2017_2018_test_2015_2016,2017_2018,31.5,-0.8960638373742754,67,True
train_2017_2018_test_2015_2016,2017_2018,32.0,-0.8960638373742754,67,True
train_2017_2018_test_2015_2016,2017_2018,32.5,-0.8481686691194382,77,True
train_2017_2018_test_2015_2016,2017_2018,33.0,-0.8481686691194382,77,True
train_2017_2018_test_2015_2016,2017_2018,33.5,-0.8481686691194382,77,True
train_2017_2018_test_2015_2016,2017_2018,34.0,-0.8481686691194382,77,True
train_2017_2018_test_2015_2016,2017_2018,34.5,-0.8469364772832388,72,True
train_2017_2018_test_2015_2016,2017_2018,35.0,-0.8469364772832388,72,True
train_2017_2018_test_2015_2016,2017_2018,35.5,-0.8469364772832388,72,True
train_2017_2018_test_2015_2016,2017_2018,36.0,-0.8469364772832388,72,True
train_2017_2018_test_2015_2016,2017_2018,36.5,-0.6380344414262074,63,True
train_2017_2018_test_2015_2016,2017_2018,37.0,-0.6380344414262074,63,True
train_2017_2018_test_2015_2016,2017_2018,37.5,-0.6380344414262074,63,True
train_2017_2018_test_2015_2016,2017_2018,38.0,-0.6380344414262074,63,True
train_2017_2018_test_2015_2016,2017_2018,38.5,-0.440655019633367,58,True
train_2017_2018_test_2015_2016,2017_2018,39.0,-0.440655019633367,58,True
train_2017_2018_test_2015_2016,2017_2018,39.5,-0.440655019633367,58,True
train_2017_2018_test_2015_2016,2017_2018,40.0,-0.440655019633367,58,True
train_2017_2018_test_2015_2016,2017_2018,40.5,-0.3499333556785703,36,True
train_2017_2018_test_2015_2016,2017_2018,41.0,-0.3499333556785703,36,True
train_2017_2018_test_2015_2016,2017_2018,41.5,-0.30248290884618295,28,False
train_2017_2018_test_2015_2016,2017_2018,42.0,-0.30248290884618295,28,False
train_2017_2018_test_2015_2016,2017_2018,42.5,-0.1735581104242383,62,True
train_2017_2018_test_2015_2016,2017_2018,43.0,-0.1735581104242383,62,True
train_2017_2018_test_2015_2016,2017_2018,43.5,-0.1735581104242383,62,True
train_2017_2018_test_2015_2016,2017_2018,44.0,-0.1735581104242383,62,True
train_2017_2018_test_2015_2016,2017_2018,44.5,-0.11136165884288524,79,True
train_2017_2018_test_2015_2016,2017_2018,45.0,-0.11136165884288524,79,True
train_2017_2018_test_2015_2016,2017_2018,45.5,-0.11136165884288524,79,True
train_2017_2018_test_2015_2016,2017_2018,46.0,-0.11136165884288524,79,True
train_2017_2018_test_2015_2016,2017_2018,46.5,-0.06981654400825893,62,True
train_2017_2018_test_2015_2016,2017_2018,47.0,-0.06981654400825893,62,True
train_2017_2018_test_2015_2016,2017_2018,47.5,-0.06981654400825893,62,True
train_2017_2018_test_2015_2016,2017_2018,48.0,-0.06981654400825893,62,True
